Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,glassdoor est,min_salary,max_salary,avg_salary,Age,Job,Seniority,Python,R,SQL,AWS,Excel,GCP,Azure,Spark,PyTorch,TensorFlow,Tableau,Keras
3.6,Audible, NJ, NJ,1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,1,1,102,190,146,25,data engineer,Not Specified,0,0,0,0,1,0,0,0,0,1,0,0
3.9,Blueprint Medicines, MA, MA,51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),3,1,67,137,102,9,data science related jobs,Not Specified,0,0,0,0,1,0,0,0,0,1,0,0
4.3,h2o.ai, CA, CA,201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,118,189,153,9,data scientist,Not Specified,1,0,0,1,1,1,1,1,0,1,0,0
4.2,Nuna, CA, CA,51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,110,175,142,10,data scientist,Not Specified,0,0,1,0,0,0,0,0,0,0,0,0
4.0,Pinnacol Assurance, CO, CO,501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),1,1,64,111,87,105,data scientist,Not Specified,1,0,1,0,1,1,0,0,1,1,0,1
3.2,Porch, WA, WA,201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,3,1,81,130,105,8,data scientist,Not Specified,1,0,1,0,0,1,0,1,0,0,0,0
3.9,Health IQ, TX, CA,201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,1,1,73,119,96,7,data scientist,senior,0,0,0,0,1,0,0,0,0,1,0,0
3.8,Truckstop.com, IL, ID,501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,1,1,86,139,112,25,data scientist,Not Specified,1,0,1,1,1,0,0,0,0,0,0,0
4.3,SMC 3, KY, GA,51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),1,1,63,105,84,85,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,0,1,0
4.0,Novetta, VA, VA,501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3,1,109,177,143,8,data scientist,Not Specified,1,0,0,1,0,0,0,0,0,1,0,1
4.0,Pfizer, MA, NY,10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,1,63,110,86,171,data scientist,Not Specified,1,0,0,1,1,0,0,0,0,0,0,0
3.5,First Tech Federal Credit Union, OR, CA,1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),1,1,75,124,99,68,data scientist,Not Specified,1,0,1,1,1,0,0,1,0,1,1,1
3.7,The Hanover Insurance Group, MA, MA,5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),1,1,34,61,47,168,analyst,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
4.0,Pfizer, CT, NY,10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,1,63,105,84,171,data scientist,Not Specified,0,0,0,1,1,1,0,0,0,1,0,0
4.8,KnowBe4, FL, FL,501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),1,1,80,90,85,10,data scientist,Not Specified,1,0,1,0,1,0,0,1,0,1,0,0
3.8,PNNL, WA, WA,1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,1,56,97,76,55,data scientist,Not Specified,1,0,0,0,0,0,0,0,0,0,0,0
3.6,Amrock, MI, MI,1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),1,1,72,120,96,23,data scientist,Not Specified,1,0,1,0,0,0,0,0,0,0,0,0
3.8,Novartis, MA, Switzerland,10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),1,1,86,143,114,24,data scientist,Not Specified,1,0,0,0,0,0,0,0,1,1,0,0
3.8,Juniper Networks, CA, CA,5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),1,1,93,149,121,24,data scientist,Not Specified,1,0,1,0,1,0,0,1,0,1,0,1
4.7,New England Biolabs, MA, MA,201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,3,1,85,140,112,46,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,1,0,0
4.2,Clarity Insights, CA, IL,201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,1,77,135,106,12,analyst,Not Specified,1,0,1,0,1,0,0,0,0,0,1,0
3.5,Esri, CA, CA,1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),1,1,82,132,107,51,data scientist,Not Specified,1,0,0,1,0,0,1,1,0,0,1,0
4.7,Systems & Technology Research, MA, MA,201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),1,1,83,137,110,10,data scientist,Not Specified,1,0,1,0,1,0,0,1,1,1,0,0
3.5,Sartorius, CA, Germany,5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),1,1,115,180,147,150,data scientist,senior,1,0,0,0,1,0,0,0,0,0,0,0
3.5,Lancer Insurance, NY, NY,201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),1,1,74,138,106,35,data engineer,Not Specified,1,0,1,0,1,0,0,0,0,0,0,0
4.2,Sauce Labs, CA, CA,201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),3,1,64,112,88,12,analyst,Not Specified,1,0,1,1,1,0,0,0,0,0,1,0
3.6,Persivia, MA, MA,1 to 50 employees,1992,Company - Private,-1,-1,Less than $1 million (USD),1,1,68,129,98,28,data engineer,Not Specified,0,0,1,0,1,0,0,0,0,0,0,0
4.2,Nuna, CA, CA,51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,110,175,142,10,data scientist,Not Specified,0,0,0,0,0,0,0,0,0,0,0,0
3.4,Edgewell Personal Care, NJ, CT,5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),3,1,52,113,82,5,data science related jobs,Not Specified,0,0,0,1,0,0,0,0,0,1,0,0
3.7,Visa Inc., WA, CA,10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),3,1,158,211,184,62,data scientist,senior,1,0,1,0,1,0,0,0,0,1,1,0
3.1,Intrado, CO, NE,5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),1,1,20,39,29,34,analyst,Not Specified,0,0,0,0,1,0,0,0,0,1,0,0
4.7,Centauri, OH, VA,501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),3,1,56,117,86,21,data science related jobs,Not Specified,0,0,0,0,0,0,0,0,0,0,0,0
3.7,Caterpillar, IL, IL,10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),3,1,63,99,81,95,data scientist,Not Specified,0,0,0,0,0,0,0,0,0,0,1,0
3.8,Zimmerman Advertising, FL, FL,501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,1,1,68,114,91,36,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,0,1,0
3.3,Liberty Mutual Insurance, MA, MA,10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3,1,86,143,114,108,data scientist,Not Specified,1,0,0,0,0,0,0,0,0,1,0,0
4.6,"Torch Technologies, Inc.", AL, AL,1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),1,1,41,95,68,18,analyst,Not Specified,1,0,0,0,1,0,0,0,0,0,1,0
3.7,Swiss Re, NY, Switzerland,10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),3,1,86,144,115,157,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,0,0,0
3.7,Northrop Grumman, CA, VA,10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),1,1,80,139,109,81,data scientist,Not Specified,0,0,1,0,1,0,0,0,0,0,1,0
3.5,Sartorius, NM, Germany,5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),1,1,56,95,75,150,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,0,0,0
4.1,Netskope, CA, CA,501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3,1,120,189,154,8,data scientist,Not Specified,1,0,0,0,1,0,0,1,0,1,0,0
4.7,1904labs, MO, MO,51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,2,1,111,176,143,4,data scientist,Not Specified,1,0,1,0,0,0,0,1,0,1,0,1
4.1,ClearOne Advantage, MD, MD,501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,1,1,54,93,73,12,data scientist,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
3.4,CyrusOne, TX, TX,201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),3,1,71,119,95,20,data scientist,Not Specified,1,0,1,1,1,0,1,0,0,0,0,0
4.4,The David J. Joseph Company, OH, OH,201 to 500 employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,1,1,82,132,107,135,data scientist,senior,1,0,1,1,0,0,0,0,0,1,1,0
4.3,USEReady, NY, NY,201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),1,1,84,146,115,9,data scientist,Not Specified,1,0,1,1,0,1,1,1,0,0,1,0
3.8,Bill.com, CA, CA,501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),1,1,107,172,139,14,data scientist,senior,0,0,1,0,0,0,0,0,0,1,0,0
3.8,Pacific Northwest National Laboratory, WA, WA,1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,1,49,85,67,55,data scientist,Not Specified,0,0,0,0,0,0,0,0,1,1,0,0
3.8,DICK'S Sporting Goods - Corporate, PA, PA,10000+ employees,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),3,1,61,109,85,72,data scientist,Not Specified,1,0,1,0,0,0,0,0,1,1,0,0
2.8,Berg Health, MA, MA,51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),1,1,88,148,118,14,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,0,0,0
4.7,Oversight Systems, GA, GA,51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),1,1,60,99,79,17,data scientist,Not Specified,1,0,1,0,1,0,0,0,1,1,0,1
3.1,C Space, MA, MA,201 to 500 employees,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),4,1,41,72,56,21,data scientist,Not Specified,1,0,1,0,0,0,0,0,0,1,1,0
3.2,"Numeric, LLC", PA, PA,1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),1,1,96,161,128,28,data scientist,Not Specified,1,0,1,1,0,0,0,1,0,0,0,0
4.0,HP Inc., WA, CA,10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1,1,65,130,97,81,data science related jobs,Not Specified,0,0,0,0,0,0,0,0,0,1,0,0
4.4,SpringML, IN, CA,1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,52,81,66,5,data science related jobs,Not Specified,1,0,0,0,0,0,0,0,0,1,1,0
3.6,Grainger, IL, IL,10000+ employees,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),1,1,139,220,179,93,director,Not Specified,1,0,1,0,1,0,0,0,0,0,0,0
2.7,EAG Laboratories, MO, CA,501 to 1000 employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),1,1,50,102,76,42,data science related jobs,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
3.9,The Buffalo Group, VA, VA,501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),3,1,85,139,112,10,data scientist,senior,1,0,1,0,0,0,0,1,0,0,0,0
3.1,Carmeuse, PA, Belgium,1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),3,1,74,122,98,160,data scientist,Not Specified,1,0,0,0,0,0,1,0,0,0,0,0
4.0,HP Inc., WA, CA,10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,1,1,99,157,128,81,data scientist,senior,0,0,1,1,0,0,0,1,0,1,0,0
4.3,h2o.ai, CA, CA,201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,79,222,150,9,data scientist,Not Specified,1,0,0,1,1,1,1,1,0,1,0,1
1.9,GNS Healthcare, MA, MA,51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),1,1,57,118,87,20,data science related jobs,Not Specified,0,0,0,1,0,0,0,0,0,1,0,0
3.3,Peraton, VA, VA,1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),1,1,83,137,110,3,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,0,0,0
4.4,Pactera, CA, China,10000+ employees,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),3,1,86,141,113,25,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,0,0,0
3.9,Nurx, CA, CA,51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),1,1,94,154,124,4,data scientist,Not Specified,1,0,1,0,0,0,0,0,0,1,0,0
4.7,webfx.com, PA, PA,201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),1,1,37,76,56,23,analyst,jr,0,0,0,0,1,0,0,0,0,0,0,0
4.5,Johns Hopkins University Applied Physics Laboratory, MD, MD,5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),3,1,100,160,130,78,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,1,0,0
4.3,Productive Edge, IL, IL,51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),3,1,55,100,77,12,analyst,Not Specified,0,0,1,0,1,0,0,0,0,1,0,0
4.0,Excella Consulting, VA, VA,201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),1,1,60,114,87,18,data engineer,Not Specified,1,0,1,1,1,0,0,0,0,1,0,0
4.4,Gensco, WA, WA,501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),1,1,39,68,53,72,analyst,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
3.2,Walmart, TX, AR,10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),3,1,106,172,139,58,data scientist,Not Specified,0,0,1,0,0,0,0,0,0,0,0,0
3.8,Logic20/20, CA, WA,201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),1,1,86,142,114,15,data scientist,Not Specified,1,0,1,1,1,0,0,1,1,1,0,0
4.2,goTRG, FL, FL,501 to 1000 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),1,1,64,107,85,12,data scientist,Not Specified,1,0,1,0,1,0,0,1,0,0,0,0
4.5,NMR Consulting, AL, VA,51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),1,1,31,65,48,24,data science related jobs,Not Specified,0,0,1,0,1,0,0,0,0,0,0,0
3.5,iSeatz, LA, LA,51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,34,62,48,21,analyst,Not Specified,0,0,1,0,1,0,0,0,0,1,0,0
3.5,Nektar Therapeutics, CA, CA,201 to 500 employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),3,1,117,231,174,30,data science related jobs,senior,0,0,0,0,1,0,0,0,0,0,0,0
3.9,TransUnion, GA, IL,5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),1,1,64,106,85,52,data scientist,Not Specified,1,0,1,0,0,0,0,1,0,0,0,0
4.7,IT Concepts, MD, VA,51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),1,1,79,134,106,17,data science related jobs,Not Specified,0,0,0,0,0,0,0,0,0,0,0,0
4.2,Scientific Research Corporation, MD, GA,1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),1,1,52,93,72,32,analyst,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
3.4,General Dynamics Information Technology, MD, VA,10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),3,1,55,116,85,24,data science related jobs,Not Specified,0,0,0,0,0,0,0,0,0,1,0,0
3.2,MITRE, VA, MA,5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),3,1,72,123,97,62,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,1,1,0
3.9,The Buffalo Group, VA, VA,501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),3,1,74,124,99,10,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,0,1,0
3.1,DentaQuest, WI, MA,1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),3,1,40,73,56,19,analyst,Not Specified,0,0,1,0,1,0,0,0,0,0,0,0
4.1,Redjack, MD, MD,1 to 50 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,1,102,164,133,13,data scientist,senior,1,0,0,0,0,0,0,0,0,0,0,0
3.8,7Park Data, NY, NY,51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,1,1,89,153,121,8,data scientist,Not Specified,1,0,0,0,0,0,0,1,1,1,0,1
4.7,Rapid Response Monitoring, NY, NY,501 to 1000 employees,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,3,1,61,110,85,28,data scientist,Not Specified,1,0,1,0,0,0,0,0,0,0,0,0
4.3,Trilogy Ed, TX, NY,1001 to 5000 employees,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,3,1,65,110,87,5,data scientist,Not Specified,1,0,1,0,0,0,0,0,0,1,0,0
3.9,CapTech, NC, VA,1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),3,1,68,123,95,23,data engineer,Not Specified,1,0,1,0,0,0,0,1,0,1,1,0
3.3,American Axle & Manufacturing, MI, MI,10000+ employees,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),1,1,80,129,104,26,data scientist,senior,1,0,1,1,1,0,0,1,0,0,0,0
4.7,CentralReach, NJ, FL,201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,3,1,41,72,56,8,analyst,Not Specified,0,0,1,0,1,0,0,0,0,1,1,0
4.3,Integrate, AZ, AZ,201 to 500 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),1,1,39,71,55,10,analyst,senior,0,0,1,0,1,0,1,0,0,1,0,0
2.9,Boys Town Hospital, NE, NE,1001 to 5000 employees,1977,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,3,1,38,85,61,43,data science related jobs,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
4.5,Demandbase, CA, CA,201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),3,1,121,193,157,14,data scientist,Not Specified,0,0,0,1,0,1,0,1,0,1,0,0
3.4,Sapphire Digital, NJ, NJ,201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,2,1,54,102,78,1,data engineer,Not Specified,1,0,1,0,0,0,0,0,0,1,0,0
3.7,Takeda Pharmaceuticals, MA, Japan,10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3,1,83,144,113,239,data scientist,Not Specified,1,0,1,0,0,0,0,1,0,1,0,0
4.6,<intent>, NY, NY,51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),2,1,120,160,140,11,data scientist,Not Specified,1,0,0,0,0,0,0,1,0,1,0,0
3.2,Formation, CA, CA,51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,102,163,132,5,data scientist,Not Specified,0,0,0,0,1,0,0,1,0,1,0,0
4.0,Autodesk, CA, CA,5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),1,1,76,140,108,38,data engineer,Not Specified,1,0,1,0,0,0,0,1,0,1,0,0
4.6,Beck's Hybrids, IN, IN,501 to 1000 employees,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),1,1,60,101,80,83,data scientist,Not Specified,0,0,0,0,0,0,0,0,0,0,0,0
2.8,DrFirst, MD, MD,201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1,1,82,133,107,20,data scientist,Not Specified,1,0,0,0,0,0,0,0,0,0,0,0
4.7,Object Partners, MN, MN,51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),2,1,65,125,95,24,data engineer,Not Specified,0,0,1,1,0,1,1,1,0,1,0,0
3.0,L.A. Care Health Plan, CA, CA,1001 to 5000 employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,3,1,91,148,119,23,data scientist,Not Specified,1,0,1,0,0,0,0,1,0,0,1,0
3.2,Red Ventures, NC, SC,1001 to 5000 employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),3,1,95,173,134,20,data engineer,senior,0,0,1,1,0,0,0,1,0,1,0,0
4.4,Quick Base, MA, MA,201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,1,77,124,100,21,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,1,1,0
3.5,The E.W. Scripps Company, OH, OH,1001 to 5000 employees,1878,Company - Public,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),1,1,80,135,107,142,data scientist,Not Specified,1,0,1,0,0,0,0,0,0,1,1,0
4.0,Upside Business Travel, DC, DC,51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,1,1,85,159,122,5,data engineer,Not Specified,1,0,1,1,0,0,0,1,0,1,0,0
2.3,Synagro, MD, MD,501 to 1000 employees,1986,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),1,1,43,81,62,34,analyst,Not Specified,0,0,1,0,1,0,0,0,0,0,0,0
